EOAID,EOATitle,MappingType,TargetID,Weight
EOA1,FRCPath Part 1 Pass,Curriculum,HLS210,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS211,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS212,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS213,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS214,1
EOA1,FRCPath Part 1 Pass,Curriculum,HCC320,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS266,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS275,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS276,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS277,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS278,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS279,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS282,1
EOA1,FRCPath Part 1 Pass,Curriculum,HLS283,1
EOA1,FRCPath Part 1 Pass,SoP,1.1,1
EOA1,FRCPath Part 1 Pass,SoP,5.4,1
EOA1,FRCPath Part 1 Pass,SoP,6.2,1
EOA1,FRCPath Part 1 Pass,SoP,6.4,1
EOA1,FRCPath Part 1 Pass,SoP,10.4,1
CBD1,MATERNAL HCV,Curriculum,HLS210,1
CBD1,MATERNAL HCV,Curriculum,HLS211,1
CBD1,MATERNAL HCV,SoP,2.4,1
CBD1,MATERNAL HCV,SoP,2.1,1
CBD1,MATERNAL HCV,SoP,2.2,1
